"year_of_interest","avg_price","category_code","category_name","avg_payroll","nr_of_units"
2006,16.1,111301,Chléb konzumní kmínový,21165,1312.6802763225885
2006,14.4,114201,Mléko polotučné pasterované,21165,1465.9522622861898
2007,18.8,111301,Chléb konzumní kmínový,22621,1200.2605981850631
2007,15.6,114201,Mléko polotučné pasterované,22621,1450.7780940430036
2008,22.9,111301,Chléb konzumní kmínový,24361,1064.6297080150864
2008,17.9,114201,Mléko polotučné pasterované,24361,1358.5742010875008
2009,19.6,111301,Chléb konzumní kmínový,25110,1282.1258307723779
2009,15.7,114201,Mléko polotučné pasterované,25110,1603.6165565991137
2010,18.4,111301,Chléb konzumní kmínový,25590,1391.365941834155
2010,16.0,114201,Mléko polotučné pasterované,25590,1595.9519759321304
2011,21.6,111301,Chléb konzumní kmínový,26187,1210.63249488566
2011,17.6,114201,Mléko polotučné pasterované,26187,1484.0778458403902
2012,22.9,111301,Chléb konzumní kmínový,26955,1176.4001468549232
2012,18.8,114201,Mléko polotučné pasterované,26955,1433.6904251462076
2013,23.1,111301,Chléb konzumní kmínový,26536,1147.6202471522174
2013,19.3,114201,Mléko polotučné pasterované,26536,1371.7850659273618
2014,23.0,111301,Chléb konzumní kmínový,27219,1183.3747462594602
2014,20.7,114201,Mléko polotučné pasterované,27219,1314.9328194961797
2015,22.4,111301,Chléb konzumní kmínový,27925,1244.2011933529361
2015,19.5,114201,Mléko polotučné pasterované,27925,1429.0993012153647
2016,21.8,111301,Chléb konzumní kmínový,28941,1329.3201924502312
2016,17.9,114201,Mléko polotučné pasterované,28941,1617.26287685745
2017,24.2,111301,Chléb konzumní kmínový,30726,1271.0842018172807
2017,19.5,114201,Mléko polotučné pasterované,30726,1576.0645783373918
2018,24.2,111301,Chléb konzumní kmínový,33091,1365.2432026908054
2018,19.8,114201,Mléko polotučné pasterované,33091,1669.8046979434018
