"category_name","category_code","avg_difference"
Cukr krystalový,118101,-1.9180780853837651
Rajská jablka červená kulatá,117101,-0.7403668193804923
Banány žluté,116103,0.8103585678763162
Vepřová pečeně s kostí,112201,0.9920431898443244
Přírodní minerální voda uhličitá,122102,1.028054803215071
Šunkový salám,112704,1.8528702547473872
Jablka konzumní,116104,2.0147265363961666
Pečivo pšeničné bílé,111303,2.201670389890196
Hovězí maso zadní bez kosti,112101,2.534784896985937
Kapr živý,2000001,2.6028567848069484
Jakostní víno bílé,212101,2.6959375819400666
"Pivo výčepní, světlé, lahvové",213201,2.8545927851020725
Eidamská cihla,114501,2.9218698484326406
Mléko polotučné pasterované,114201,2.9825501736356013
Rostlinný roztíratelný tuk,115201,3.229600458853256
Kuřata kuchaná celá,112401,3.3776614949611186
Pomeranče,116101,3.5989746730831063
Jogurt bílý netučný,114401,3.955617978381358
Chléb konzumní kmínový,111301,3.9675585846199635
Konzumní brambory,117401,4.179340201352775
Rýže loupaná dlouhozrnná,111101,5.001354651236497
Pšeničná mouka hladká,111201,5.235861845960406
Mrkev,117106,5.237322331176528
Těstoviny vaječné,111602,5.264863061546639
Vejce slepičí čerstvá,114701,5.552180451764926
Máslo,115101,6.673758111343666
Papriky,117103,7.291496558743597
