"year_of_interest","avg_price","category_code","category_name","avg_payroll","industry_branch_code","industry_branch_name","GDP"
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,18985.7500,A,"Zemědělství, lesnictví, rybářství",212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,31536.5000,B,Těžba a dobývání,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,23776.5000,C,Zpracovatelský průmysl,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,40201.5000,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,23157.0000,E,Zásobování vodou; činnosti související s odpady a sanacemi,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,22777.5000,F,Stavebnictví,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,22809.7500,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,23062.0000,H,Doprava a skladování,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,13131.2500,I,"Ubytování, stravování a pohostinství",212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,45335.2500,J,Informační a komunikační činnosti,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,47673.2500,K,Peněžnictví a pojišťovnictví,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,22337.0000,L,Činnosti v oblasti nemovitostí,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,32372.0000,M,"Profesní, vědecké a technické činnosti",212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,16546.7500,N,Administrativní a podpůrné činnosti,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,26330.7500,O,Veřejná správa a obrana; povinné sociální zabezpečení,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,23771.5000,P,Vzdělávání,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,24678.2500,Q,Zdravotní a sociální péče,212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,19865.2500,R,"Kulturní, zábavní a rekreační činnosti",212750323790.759
2011,33.336166666666635,111101,Rýže loupaná dlouhozrnná,19214.0000,S,Ostatní činnosti,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,18985.7500,A,"Zemědělství, lesnictví, rybářství",212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,31536.5000,B,Těžba a dobývání,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,23776.5000,C,Zpracovatelský průmysl,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,40201.5000,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,23157.0000,E,Zásobování vodou; činnosti související s odpady a sanacemi,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,22777.5000,F,Stavebnictví,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,22809.7500,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,23062.0000,H,Doprava a skladování,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,13131.2500,I,"Ubytování, stravování a pohostinství",212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,45335.2500,J,Informační a komunikační činnosti,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,47673.2500,K,Peněžnictví a pojišťovnictví,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,22337.0000,L,Činnosti v oblasti nemovitostí,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,32372.0000,M,"Profesní, vědecké a technické činnosti",212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,16546.7500,N,Administrativní a podpůrné činnosti,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,26330.7500,O,Veřejná správa a obrana; povinné sociální zabezpečení,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,23771.5000,P,Vzdělávání,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,24678.2500,Q,Zdravotní a sociální péče,212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,19865.2500,R,"Kulturní, zábavní a rekreační činnosti",212750323790.759
2011,11.440999999999988,111201,Pšeničná mouka hladká,19214.0000,S,Ostatní činnosti,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,18985.7500,A,"Zemědělství, lesnictví, rybářství",212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,31536.5000,B,Těžba a dobývání,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,23776.5000,C,Zpracovatelský průmysl,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,40201.5000,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,23157.0000,E,Zásobování vodou; činnosti související s odpady a sanacemi,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,22777.5000,F,Stavebnictví,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,22809.7500,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,23062.0000,H,Doprava a skladování,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,13131.2500,I,"Ubytování, stravování a pohostinství",212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,45335.2500,J,Informační a komunikační činnosti,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,47673.2500,K,Peněžnictví a pojišťovnictví,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,22337.0000,L,Činnosti v oblasti nemovitostí,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,32372.0000,M,"Profesní, vědecké a technické činnosti",212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,16546.7500,N,Administrativní a podpůrné činnosti,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,26330.7500,O,Veřejná správa a obrana; povinné sociální zabezpečení,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,23771.5000,P,Vzdělávání,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,24678.2500,Q,Zdravotní a sociální péče,212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,19865.2500,R,"Kulturní, zábavní a rekreační činnosti",212750323790.759
2011,21.631222222222195,111301,Chléb konzumní kmínový,19214.0000,S,Ostatní činnosti,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,18985.7500,A,"Zemědělství, lesnictví, rybářství",212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,31536.5000,B,Těžba a dobývání,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,23776.5000,C,Zpracovatelský průmysl,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,40201.5000,D,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,23157.0000,E,Zásobování vodou; činnosti související s odpady a sanacemi,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,22777.5000,F,Stavebnictví,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,22809.7500,G,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,23062.0000,H,Doprava a skladování,212750323790.759
2011,43.24716666666667,111303,Pečivo pšeničné bílé,13131.2500,I,"Ubytování, stravování a pohostinství",212750323790.759
